pmid,page,tabletype,tabletype_details,tid
21925996,4,TableTidier,result_table_subgroup,1460
22573644,2,TableTidier,result_table_subgroup,1853
24842697,2,TableTidier,result_table_subgroup,1004
24842697,3,TableTidier,result_table_subgroup,1658
26653621,2,TableTidier,result_table_subgroup,796
23706759,2,TableTidier,result_table_subgroup,1462
15758000,2,TableTidier,result_table_subgroup,1346
16537662,2,TableTidier,result_table_subgroup,374
17145742,2,TableTidier,result_table_subgroup,31
22509859,1,TableTidier,result_table_subgroup,127
26097039,2,TableTidier,result_table_subgroup,395
26097039,3,TableTidier,result_table_subgroup,1092
29748996,1,TableTidier,result_table_subgroup,1152
29766634,2,TableTidier,result_table_subgroup,711
29908670,1,TableTidier,result_table_subgroup,671
16495392,2,TableTidier,result_table_subgroup,672
21332630,2,TableTidier,result_table_subgroup,490
17470824,2,TableTidier,result_table_subgroup,427
17634458,2,TableTidier,result_table_subgroup,1820
19560810,1,TableTidier,result_table_subgroup,1570
20491747,2,TableTidier,result_table_subgroup,46
22504093,2,TableTidier,result_table_subgroup,727
24067881,2,TableTidier,result_table_subgroup,1456
24339179,2,TableTidier,result_table_subgroup,70
26135703,2,TableTidier,result_table_subgroup,921
27028914,2,TableTidier,result_table_subgroup,298
27639327,2,TableTidier,result_table_subgroup,1774
28215362,2,TableTidier,result_table_subgroup,1151
28467869,2,TableTidier,result_table_subgroup,35
28467869,3,TableTidier,result_table_subgroup,1224
28473423,2,TableTidier,result_table_subgroup,620
29028981,2,TableTidier,result_table_subgroup,963
29028981,3,TableTidier,result_table_subgroup,410
29409133,1,TableTidier,result_table_subgroup,737
29415145,2,TableTidier,result_table_subgroup,180
29797519,1,TableTidier,result_table_subgroup,465
29857145,3,TableTidier,result_table_subgroup,450
29857145,4,TableTidier,result_table_subgroup,1292
29857145,5,TableTidier,result_table_subgroup,105
29857145,6,TableTidier,result_table_subgroup,1064
29857145,7,TableTidier,result_table_subgroup,771
29880010,1,TableTidier,result_table_subgroup,677
30121827,3,TableTidier,result_table_subgroup,1468
30522501,1,TableTidier,result_table_subgroup,1845
16380589,2,TableTidier,result_table_subgroup,724
20385930,2,TableTidier,result_table_subgroup,755
26915374,2,result_table_without_subgroup,result_table_without_subgroup,468
27977392,3,TableTidier,result_table_subgroup,849
27144849,3,TableTidier,result_table_subgroup,609
19201775,2,TableTidier,result_table_subgroup,763
26471380,2,TableTidier,result_table_subgroup,268
28279891,2,TableTidier,result_table_subgroup,1627
27977392,2,TableTidier,result_table_subgroup,1228
16905022,2,TableTidier,result_table_subgroup,872
22337213,2,TableTidier,result_table_subgroup,29
24966672,2,TableTidier,result_table_subgroup,1291
24966672,3,TableTidier,result_table_subgroup,882
25045258,2,TableTidier,result_table_subgroup,552
26100349,3,TableTidier,result_table_subgroup,1579
23500237,2,TableTidier,result_table_subgroup,1580
26271059,2,TableTidier,result_table_subgroup,487
30871355,3,TableTidier,result_table_subgroup,1217
30871355,4,TableTidier,result_table_subgroup,1162
17304660,2,TableTidier,result_table_subgroup,1589
17965424,2,TableTidier,result_table_subgroup,456
17980928,3,TableTidier,result_table_subgroup,553
19515181,2,TableTidier,result_table_subgroup,819
22672586,2,TableTidier,result_table_subgroup,891
25271206,2,TableTidier,result_table_subgroup,1048
27502307,2,TableTidier,result_table_subgroup,43
